Date,Price
2013-07-26,96.39475
2013-07-27,95.20461
2013-07-28,99.00001
2013-07-29,101.04202
2013-07-30,101.89998
2013-07-31,104.95555
2013-08-13,107.29884
2013-08-14,100.03
2013-08-15,98.28
2013-08-16,98.51
2013-08-17,98.39
2013-08-18,99.02
2013-08-19,102.07
2013-08-20,104.59
2013-08-21,109.75
2013-08-22,111.01
2013-08-23,107.48
2013-08-24,108.79
2013-08-25,112.9
2013-08-26,111.8
2013-08-27,117.52
2013-08-28,119.25
2013-08-29,119.48
2013-08-30,124.79
2013-08-31,132.75
2013-09-13,128.29
2013-09-14,124.32
2013-09-15,125.46
2013-09-16,126.02
2013-09-17,127.56
2013-09-18,127.23
2013-09-19,124.1
2013-09-20,123.98
2013-09-21,123.5
2013-09-22,122.78
2013-09-23,123.02
2013-09-24,122.59
2013-09-25,124.18
2013-09-26,123.85
2013-09-27,125.6
2013-09-28,126.5
2013-09-29,128.1
2013-09-30,125.8
2013-10-13,129.74
2013-10-14,135.69
2013-10-15,139.24
2013-10-16,141.83
2013-10-17,143.33
2013-10-18,150.59
2013-10-19,165.05
2013-10-20,165.71
2013-10-21,177.07
2013-10-22,191.78
2013-10-23,199.95
2013-10-24,195.78
2013-10-25,172.81
2013-10-26,179.71
2013-10-27,189.06
2013-10-28,196.25
2013-10-29,202.09
2013-10-30,203.39
2013-10-31,201.61
2013-11-13,391.64
2013-11-14,416.5
2013-11-15,428.24
2013-11-16,433.53
2013-11-17,463.0
2013-11-18,583.16
2013-11-19,559.99
2013-11-20,595.0
2013-11-21,694.95
2013-11-22,761.0
2013-11-23,837.99
2013-11-24,833.16
2013-11-25,814.0
2013-11-26,844.9
2013-11-27,961.0
2013-11-28,1009.0
2013-11-29,1083.9
2013-11-30,1119.96
2013-12-13,874.0
2013-12-14,864.7
2013-12-15,848.17
2013-12-16,709.0
2013-12-17,702.05
2013-12-18,576.16
2013-12-19,653.0
2013-12-20,660.0
2013-12-21,612.5
2013-12-22,637.0
2013-12-23,639.9
2013-12-24,647.27
2013-12-25,658.07
2013-12-26,734.42
2013-12-27,715.51
2013-12-28,701.61
2013-12-29,714.79
2013-12-30,739.1
2013-12-31,731.0
2014-01-13,807.83
2014-01-14,820.75
2014-01-15,847.7
2014-01-16,830.9
2014-01-17,793.0
2014-01-18,801.53
2014-01-19,833.0
2014-01-20,831.72
2014-01-21,822.56
2014-01-22,813.05
2014-01-23,813.02
2014-01-24,789.1
2014-01-25,806.0
2014-01-26,826.77
2014-01-27,777.0
2014-01-28,800.2
2014-01-29,803.6
2014-01-30,799.37
2014-01-31,802.5
2014-02-13,633.99
2014-02-14,672.1
2014-02-15,651.42
2014-02-16,623.5
2014-02-17,642.0
2014-02-18,626.77
2014-02-19,623.93
2014-02-20,582.7
2014-02-21,566.16
2014-02-22,603.98
2014-02-23,626.77
2014-02-24,545.0
2014-02-25,528.0
2014-02-26,585.38
2014-02-27,585.17
2014-02-28,577.97
2014-03-13,642.61
2014-03-14,636.47
2014-03-15,636.29
2014-03-16,634.94
2014-03-17,624.7
2014-03-18,627.0
2014-03-19,608.41
2014-03-20,590.0
2014-03-21,579.99
2014-03-22,557.0
2014-03-23,567.13
2014-03-24,572.0
2014-03-25,580.02
2014-03-26,585.7
2014-03-27,520.2
2014-03-28,503.0
2014-03-29,499.94
2014-03-30,449.02
2014-03-31,457.0
2014-04-13,405.0
2014-04-14,453.14
2014-04-15,489.91
2014-04-16,511.5
2014-04-17,495.0
2014-04-18,479.98
2014-04-19,499.9
2014-04-20,500.19
2014-04-21,496.5
2014-04-22,493.33
2014-04-23,487.3
2014-04-24,491.6
2014-04-25,459.15
2014-04-26,463.88
2014-04-27,440.1
2014-04-28,447.0
2014-04-29,447.7
2014-04-30,449.0
2014-05-13,438.95
2014-05-14,447.49
2014-05-15,448.99
2014-05-16,449.51
2014-05-17,449.08
2014-05-18,447.14
2014-05-19,446.42
2014-05-20,485.01
2014-05-21,494.87
2014-05-22,523.84
2014-05-23,527.47
2014-05-24,521.52
2014-05-25,575.0
2014-05-26,584.0
2014-05-27,581.87
2014-05-28,574.33
2014-05-29,568.0
2014-05-30,609.03
2014-05-31,620.45
2014-06-13,582.0
2014-06-14,557.92
2014-06-15,560.49
2014-06-16,595.0
2014-06-17,597.65
2014-06-18,604.6
2014-06-19,604.32
2014-06-20,593.33
2014-06-21,590.99
2014-06-22,596.08
2014-06-23,591.5
2014-06-24,585.54
2014-06-25,567.0
2014-06-26,569.0
2014-06-27,588.97
2014-06-28,597.08
2014-06-29,596.0
2014-06-30,620.0
2014-07-13,630.9
2014-07-14,622.8
2014-07-15,623.17
2014-07-16,619.48
2014-07-17,626.0
2014-07-18,629.86
2014-07-19,630.92
2014-07-20,623.77
2014-07-21,619.14
2014-07-22,621.03
2014-07-23,622.01
2014-07-24,601.18
2014-07-25,602.59
2014-07-26,595.88
2014-07-27,592.51
2014-07-28,586.96
2014-07-29,581.5
2014-07-30,573.48
2014-07-31,586.0
2014-08-13,550.14
2014-08-14,521.66
2014-08-15,498.16
2014-08-16,509.0
2014-08-17,491.88
2014-08-18,468.19
2014-08-19,487.5
2014-08-20,507.3
2014-08-21,525.78
2014-08-22,518.25
2014-08-23,503.88
2014-08-24,510.75
2014-08-25,503.79
2014-08-26,512.79
2014-08-27,514.84
2014-08-28,509.39
2014-08-29,511.99
2014-08-30,503.88
2014-08-31,477.98
2014-09-13,479.86
2014-09-14,475.49
2014-09-15,475.3
2014-09-16,468.0
2014-09-17,457.3340148925781
2014-09-17,448.0
2014-09-18,428.19
2014-09-18,424.4400024414063
2014-09-19,394.7959899902344
2014-09-19,398.89
2014-09-20,408.9039916992188
2014-09-20,415.56
2014-09-21,406.3
2014-09-21,398.8210144042969
2014-09-22,400.98
2014-09-22,402.1520080566406
2014-09-23,423.0
2014-09-23,435.7909851074219
2014-09-24,431.91
2014-09-24,423.2049865722656
2014-09-25,408.08
2014-09-25,411.5740051269531
2014-09-26,405.14
2014-09-26,404.4249877929688
2014-09-27,399.5199890136719
2014-09-27,400.74
2014-09-28,380.0
2014-09-28,377.1809997558594
2014-09-29,375.4670104980469
2014-09-29,381.94
2014-09-30,386.9440002441406
2014-09-30,382.67
2014-10-01,383.614990234375
2014-10-02,375.0719909667969
2014-10-03,359.5119934082031
2014-10-04,328.8659973144531
2014-10-05,320.510009765625
2014-10-06,330.0790100097656
2014-10-07,336.18701171875
2014-10-08,352.94000244140625
2014-10-09,365.0260009765625
2014-10-10,361.56201171875
2014-10-11,362.2990112304688
2014-10-12,378.5490112304688
2014-10-13,390.41400146484375
2014-10-13,381.46
2014-10-14,411.89
2014-10-14,400.8699951171875
2014-10-15,394.0
2014-10-15,394.7730102539063
2014-10-16,382.5559997558594
2014-10-16,378.02
2014-10-17,383.7579956054688
2014-10-17,382.83
2014-10-18,391.4419860839844
2014-10-18,389.68
2014-10-19,389.5459899902344
2014-10-19,388.99
2014-10-20,382.8450012207031
2014-10-20,384.95
2014-10-21,386.4750061035156
2014-10-21,387.0
2014-10-22,383.1579895019531
2014-10-22,385.1
2014-10-23,358.4169921875
2014-10-23,363.99
2014-10-24,358.3450012207031
2014-10-24,358.46
2014-10-25,348.89
2014-10-25,347.27099609375
2014-10-26,355.43
2014-10-26,354.7040100097656
2014-10-27,352.989013671875
2014-10-27,356.5
2014-10-28,357.6180114746094
2014-10-28,354.94
2014-10-29,335.59100341796875
2014-10-29,343.53
2014-10-30,345.30499267578125
2014-10-30,337.0
2014-10-31,340.95
2014-10-31,338.3210144042969
2014-11-01,325.7489929199219
2014-11-02,325.8919982910156
2014-11-03,327.5539855957031
2014-11-04,330.49200439453125
2014-11-05,339.4859924316406
2014-11-06,349.2900085449219
2014-11-07,342.4150085449219
2014-11-08,345.4880065917969
2014-11-09,363.2640075683594
2014-11-10,366.9240112304688
2014-11-11,367.6950073242188
2014-11-12,423.5610046386719
2014-11-13,420.7349853515625
2014-11-13,406.56
2014-11-14,396.56
2014-11-14,397.8179931640625
2014-11-15,373.14
2014-11-15,376.1329956054688
2014-11-16,383.65
2014-11-16,387.8819885253906
2014-11-17,387.4079895019531
2014-11-17,378.48
2014-11-18,375.197998046875
2014-11-18,379.91
2014-11-19,380.5549926757813
2014-11-19,374.77
2014-11-20,357.8399963378906
2014-11-20,361.7
2014-11-21,356.9
2014-11-21,350.8479919433594
2014-11-22,352.9200134277344
2014-11-22,359.8
2014-11-23,362.99
2014-11-23,367.572998046875
2014-11-24,376.9010009765625
2014-11-24,384.0
2014-11-25,381.03
2014-11-25,375.3479919433594
2014-11-26,371.44
2014-11-26,368.3699951171875
2014-11-27,372.62
2014-11-27,369.6700134277344
2014-11-28,376.12
2014-11-28,376.4469909667969
2014-11-29,377.22
2014-11-29,375.4909973144531
2014-11-30,375.96
2014-11-30,378.0469970703125
2014-12-01,379.2449951171875
2014-12-02,381.3150024414063
2014-12-03,375.010009765625
2014-12-04,369.60400390625
2014-12-05,376.85400390625
2014-12-06,374.7850036621094
2014-12-07,375.0950012207031
2014-12-08,361.9089965820313
2014-12-09,352.218994140625
2014-12-10,346.364990234375
2014-12-11,350.5060119628906
2014-12-12,352.5419921875
2014-12-13,347.3760070800781
2014-12-13,350.31
2014-12-14,353.28
2014-12-14,351.6319885253906
2014-12-15,352.15
2014-12-15,345.3450012207031
2014-12-16,336.73
2014-12-16,327.06201171875
2014-12-17,318.2
2014-12-17,319.7760009765625
2014-12-18,311.39599609375
2014-12-18,317.7
2014-12-19,317.8429870605469
2014-12-19,317.63
2014-12-20,325.7
2014-12-20,329.9559936523437
2014-12-21,326.93
2014-12-21,320.8429870605469
2014-12-22,332.53
2014-12-22,331.885986328125
2014-12-23,334.5719909667969
